Company Name,Index_type,Sector,Industry,Symbol,P/E,MarketCap
Biofil Chemicals & Pharmaceuticals Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,BIOFILCHEM,244.44444,1181477888
Mindteck (India) Limited,None,Technology,Information Technology Services,MINDTECK,11.965073,3910339072
GRP Limited,None,Consumer Cyclical,Auto Parts,GRPLTD,17.58018,1587396864
GPT Infraprojects Limited,None,Industrials,Engineering & Construction,GPTINFRA,11.308697,2367600384
Ducon Infratechnologies Limited,None,Industrials,Specialty Industrial Machinery,DUCON,1297.0587,4602672640
Pioneer Embroideries Limited,None,Consumer Cyclical,Textile Manufacturing,PIONEEREMB,5.2557645,1445968640
Ice Make Refrigeration Limited,None,Industrials,Specialty Industrial Machinery,ICEMAKE,33.411514,1227901184
Maan Aluminium Limited,None,Basic Materials,Aluminum,MAANALU,8.420222,1661838592
Ksolves India Limited,None,Don't Know,Don't Know,KSOLVES,0,0
Lloyds Steels Industries Limited,None,Industrials,Specialty Industrial Machinery,LSIL,2783.3335,15008257024
Praxis Home Retail Limited,None,Consumer Cyclical,Specialty Retail,PRAXIS,0,0
Innovana Thinklabs Limited,None,Don't Know,Don't Know,INNOVANA,0,0
Pavna Industries Limited,None,Don't Know,Don't Know,PAVNAIND,0,0
Murudeshwar Ceramics Limited,None,Industrials,Building Products & Equipment,MURUDCERA,20.679245,1433877632
Aries Agro Limited,None,Basic Materials,Agricultural Inputs,ARIES,10.554757,1816636928
IVP Limited,None,Basic Materials,Specialty Chemicals,IVP,13.103301,1578375040
Kapston Facilities Management Limited,None,Industrials,Specialty Business Services,KAPSTON,51.202137,1166571520
Intrasoft Technologies Limited,None,Consumer Cyclical,Internet Retail,ISFT,27.773655,3308003328
Softtech Engineers Limited,None,Don't Know,Don't Know,SOFTTECH,0,0
Tembo Global Industries Limited,None,Industrials,Metal Fabrication,TEMBO,312.51288,3048458752
T T Limited,None,Consumer Cyclical,Textile Manufacturing,TTL,29.444159,2485701632
Ravinder Heights Limited,None,Real Estate,Real Estate—Development,RVHL,0,0
SPL Industries Limited,None,Consumer Cyclical,Apparel Manufacturing,SPLIL,11.847673,1705200000
The Motor & General Finance Limited,None,Real Estate,Real Estate—Diversified,MOTOGENFIN,600,1022398080
Arrow Greentech Limited,None,Consumer Cyclical,Packaging & Containers,ARROWGREEN,21.229368,1597786496
TRF Limited,None,Industrials,Specialty Industrial Machinery,TRF,0,0
The Grob Tea Company Limited,None,Consumer Defensive,Farm Products,GROBTEA,17.70041,1165933184
Maha Rashtra Apex Corporation Limited,None,Financial Services,Credit Services,MAHAPEXLTD,38.234283,1568428544
Ansal Properties & Infrastructure Limited,None,Real Estate,Real Estate—Development,ANSALAPI,0,0
Palred Technologies Limited,None,Technology,Information Technology Services,PALREDTEC,142.15569,2321660416
Bhagyanagar Properties Limited,None,Real Estate,Real Estate Services,BHAGYAPROP,48.96603,1060634304
Rajshree Polypack Limited,None,Don't Know,Don't Know,RPPL,25.598726,
Indo Tech Transformers Limited,None,Industrials,Electrical Equipment & Parts,INDOTECH,17.824987,2655531520
Macpower CNC Machines Limited,None,Industrials,Specialty Industrial Machinery,MACPOWER,20.329935,2114387712
Pansari Developers Limited,None,Real Estate,Real Estate—Development,PANSARI,35.383434,
Amj Land Holdings Limited,None,Real Estate,Real Estate—Development,AMJLAND,80.31784,1361133056
LGB Forge Limited,None,Industrials,Metal Fabrication,LGBFORGE,25.913979,2894458368
Adhunik Industries Limited,None,Don't Know,Don't Know,ADHUNIKIND,0,0
GSS Infotech Limited,None,Technology,Information Technology Services,GSS,94.277115,1861889920
Signet Industries Limited,None,Basic Materials,Specialty Chemicals,SIGIND,7.502253,1472006528
Cineline India Limited,None,Real Estate,Real Estate Services,CINELINE,0,0
Gillanders Arbuthnot & Company Limited,None,Industrials,Conglomerates,GILLANDERS,0,0
Opto Circuits (India) Limited,None,Healthcare,Medical Devices,OPTOCIRCUI,0,0
Aksh Optifibre Limited,None,Technology,Communication Equipment,AKSHOPTFBR,0,0
Coral India Finance & Housing Limited,None,Consumer Cyclical,Residential Construction,CORALFINAC,10.624357,1666495872
Omax Autos Limited,None,Consumer Cyclical,Auto Parts,OMAXAUTO,0,0
Xpro India Limited,None,Basic Materials,Specialty Chemicals,XPROINDIA,39.058765,12358692864
Spectrum Electrical Industries Limited,None,Don't Know,Don't Know,SPECTRUM,0,0
Lotus Eye Hospital and Institute Limited,None,Healthcare,Medical Care Facilities,LOTUSEYE,39.283432,1276892800
Jindal Photo Limited,None,Financial Services,Asset Management,JINDALPHOT,0.6602702,3590405120
Osia Hyper Retail Limited,None,Don't Know,Don't Know,OSIAHYPER,0,0
Kernex Microsystems (India) Limited,None,Technology,Software—Application,KERNEX,0,0
GTL Limited,None,Communication Services,Telecom Services,GTL,0.7658404,2921636352
Kirloskar Electric Company Limited,None,Industrials,Specialty Industrial Machinery,KECL,0,0
Remsons Industries Limited,None,Consumer Cyclical,Auto Parts,REMSONSIND,20.536139,1265520384
Geekay Wires Limited,None,Industrials,Electrical Equipment & Parts,GEEKAYWIRE,13.873032,838250368
Uravi T and Wedge Lamps Limited,None,Don't Know,Don't Know,URAVI,0,0
Shree Vasu Logistics Limited,None,Don't Know,Don't Know,SVLL,0,0
Indian Card Clothing Company Limited,None,Consumer Cyclical,Textile Manufacturing,INDIANCARD,0,0
Orient Press Limited,None,Consumer Cyclical,Packaging & Containers,ORIENTLTD,0,0
Manaksia Coated Metals & Industries Limited,None,Industrials,Metal Fabrication,MANAKCOAT,24.041534,1972573440
Almondz Global Securities Limited,None,Financial Services,Capital Markets,ALMONDZ,13.315514,3161888512
Aarvi Encon Limited,None,Industrials,Staffing & Employment Services,AARVI,11.703383,1319472000
Indosolar Limited,None,Technology,Solar,INDOSOLAR,0,0
Par Drugs and Chemicals Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,PAR,16.910793,
Bal Pharma Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,BALPHARMA,27.307972,1670484480
Worth Peripherals Limited,None,Consumer Cyclical,Packaging & Containers,WORTH,12.929528,1748360960
Alpa Laboratories Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,ALPA,12.319829,1708496640
Accuracy Shipping Limited,None,Industrials,Integrated Freight & Logistics,ACCURACY,17.690565,3529126400
Weizmann Limited,None,Consumer Cyclical,Textile Manufacturing,WEIZMANIND,35.564957,1297424768
Visa Steel Limited,None,Basic Materials,Steel,VISASTEEL,0,0
HOV Services Limited,None,Technology,Information Technology Services,HOVS,21.272444,686650944
Lyka Labs Limited,None,Healthcare,Biotechnology,LYKALABS,9.332881,4551774720
Shiv Aum Steels Limited,None,Don't Know,Don't Know,SHIVAUM,0,0
Premier Polyfilm Limited,None,Basic Materials,Specialty Chemicals,PREMIERPOL,12.890884,1623508736
Siti Networks Limited,None,Communication Services,Entertainment,SITINET,0,0
Naga Dhunseri Group Limited,None,Financial Services,Capital Markets,NDGL,0,0
The Byke Hospitality Ltd,None,Consumer Cyclical,Lodging,BYKE,0,0
Jullundur Motor Agency (Delhi) Limited,None,Consumer Cyclical,Auto Parts,JMA,7.5266614,1676536832
Texmo Pipes and Products Limited,None,Industrials,Building Products & Equipment,TEXMOPIPES,14.710554,2433403136
Kalyani Forge Limited,None,Consumer Cyclical,Auto Parts,KALYANIFRG,17.691147,725599104
Intense Technologies Limited,None,Technology,Software—Infrastructure,INTENTECH,11.00194,2036840704
Akg Exim Limited,None,Consumer Defensive,Packaged Foods,AKG,23.982557,436928256
Golden Tobacco Limited,None,Consumer Defensive,Tobacco,GOLDENTOBC,25.083351,1987153024
Compucom Software Limited,None,Consumer Defensive,Education & Training Services,COMPUSOFT,27.230768,2104172416
Kamat Hotels (I) Limited,None,Consumer Cyclical,Lodging,KAMATHOTEL,0,0
IL&FS Transportation Networks Limited,None,Industrials,Infrastructure Operations,IL&FSTRANS,0,0
LCC Infotech Limited,None,Consumer Defensive,Education & Training Services,LCCINFOTEC,0,0
Panache Digilife Limited,None,Technology,Communication Equipment,PANACHE,0,0
Future Market Networks Limited,None,Real Estate,Real Estate Services,FMNL,0,0
Dynacons Systems & Solutions Limited,None,Technology,Information Technology Services,DSSL,21.580675,2334850048
ABM International Limited,None,Don't Know,Don't Know,ABMINTLTD,0,0
The Peria Karamalai Tea & Produce Company Limited,None,Consumer Defensive,Farm Products,PKTEA,15.805186,835887616
Bharat Gears Limited,None,Consumer Cyclical,Auto Parts,BHARATGEAR,6.513448,1660904576
Supreme Engineering Limited,None,Basic Materials,Steel,SUPREMEENG,0,0
IZMO Limited,None,Technology,Software—Application,IZMO,7.3602104,1279564544
Country Club Hospitality & Holidays Limited,None,Consumer Cyclical,Lodging,CCHHL,0,0
Tokyo Plast International Limited,None,Consumer Cyclical,Packaging & Containers,TOKYOPLAST,150.98335,948239744
A2Z Infra Engineering Limited,None,Industrials,Engineering & Construction,A2ZINFRA,0,0
Gammon Infrastructure Projects Limited,None,Don't Know,Don't Know,GAMMNINFRA,0,0
Mahickra Chemicals Limited,None,Don't Know,Don't Know,MAHICKRA,0,0
Kritika Wires Limited,None,Don't Know,Don't Know,KRITIKA,0,0
Archidply Industries Limited,None,Basic Materials,Lumber & Wood Production,ARCHIDPLY,17.101147,985318592
Mukta Arts Limited,None,Communication Services,Entertainment,MUKTAARTS,0,0
CMI Limited,None,Industrials,Electrical Equipment & Parts,CMICABLES,0,0
Libas Consumer Products Limited,None,Consumer Cyclical,Apparel Manufacturing,LIBAS,6.2541876,493920000
Vikas EcoTech Limited,None,Basic Materials,Specialty Chemicals,VIKASECO,0,0
Aro Granite Industries Limited,None,Industrials,Building Products & Equipment,AROGRANITE,7.6350923,918764992
Ausom Enterprise Limited,None,Financial Services,Capital Markets,AUSOMENT,11.675824,984305088
Total Transport Systems Limited,None,Industrials,Integrated Freight & Logistics,TOTAL,12.950926,1140188160
Dev Information Technology Limited,None,Don't Know,Don't Know,DEVIT,144.0884,
R. S. Software (India) Limited,None,Technology,Information Technology Services,RSSOFTWARE,0,0
Banka BioLoo Limited,None,Industrials,Pollution & Treatment Controls,BANKA,28.492285,740239232
Sonam Clock Limited,None,Don't Know,Don't Know,SONAMCLOCK,0,0
Arvee Laboratories (India) Limited,None,Basic Materials,Specialty Chemicals,ARVEE,59.208736,956536064
Hisar Metal Industries Limited,None,Basic Materials,Steel,HISARMETAL,6.1076894,599670016
Sical Logistics Limited,None,Industrials,Integrated Freight & Logistics,SICAL,0,0
Shree Ram Proteins Limited,None,Consumer Defensive,Farm Products,SRPL,24.48043,1942793984
Pritish Nandy Communications Limited,None,Communication Services,Entertainment,PNC,0,0
Shree Rama Multi-Tech Limited,None,Consumer Cyclical,Packaging & Containers,SHREERAMA,0,0
Ganges Securities Limited,None,Consumer Defensive,Packaged Foods,GANGESSECU,13.619922,979362240
Goenka Diamond and Jewels Limited,None,Consumer Cyclical,Luxury Goods,GOENKA,0,0
BDR Buildcon Limited,None,Don't Know,Don't Know,BDR,0,0
Silgo Retail Limited,None,Consumer Cyclical,Luxury Goods,SILGO,11.868215,325559008
Tarmat Limited,None,Industrials,Engineering & Construction,TARMAT,15.007047,1009626432
McDowell Holdings Limited,None,Financial Services,Capital Markets,MCDHOLDING,0,0
JAKHARIA FABRIC LIMITED,None,Don't Know,Don't Know,JAKHARIA,0,0
Aaron Industries Limited,None,Industrials,Specialty Industrial Machinery,AARON,39.066917,1248958976
Sicagen India Limited,None,Industrial Goods,General Building Materials,SICAGEN,0,0
Parin Furniture Limited,None,Don't Know,Don't Know,PARIN,0,0
Sundaram Multi Pap Limited,None,Basic Materials,Paper & Paper Products,SUNDARAM,1399.9999,2020141056
Manaksia Aluminium Company Limited,None,Basic Materials,Aluminum,MANAKALUCO,18.903893,1559709184
Rollatainers Limited,None,Industrials,Conglomerates,ROLLT,0,0
E2E Networks Limited,None,Don't Know,Don't Know,E2E,0,0
Lokesh Machines Limited,None,Industrials,Specialty Industrial Machinery,LOKESHMACH,23.20891,1379843200
Indbank Merchant Banking Services Limited,None,Financial Services,Capital Markets,INDBANK,17.540182,1113892864
Damodar Industries Limited,None,Consumer Cyclical,Textile Manufacturing,DAMODARIND,7.4113913,1524984960
Surana Telecom and Power Limited,None,Utilities,Utilities—Independent Power Producers,SURANAT&P,0,0
Indo Thai Securities Limited,None,Financial Services,Capital Markets,INDOTHAI,26.87155,2886714880
Imagicaaworld Entertainment Limited,None,Communication Services,Entertainment,IMAGICAA,0,0
Sagardeep Alloys Limited,None,Basic Materials,Copper,SAGARDEEP,81.8743,1244337280
SKIL Infrastructure Limited,None,Industrials,Engineering & Construction,SKIL,0,0
MITCON Consultancy & Engineering Services Limited,None,Don't Know,Don't Know,MITCON,0,0
Wonder Fibromats Limited,None,Don't Know,Don't Know,WFL,33.4368,2701259520
AVG Logistics Limited,None,Don't Know,Don't Know,AVG,0,0
Sarveshwar Foods Limited,None,Don't Know,Don't Know,SARVESHWAR,0,0
Prajay Engineers Syndicate Limited,None,Real Estate,Real Estate—Development,PRAENG,60.942764,1272949632
Global Vectra Helicorp Limited,None,Industrials,Airports & Air Services,GLOBALVECT,0,0
Rolta India Limited,None,Technology,Information Technology Services,ROLTA,0,0
Atlanta  Limited,None,Industrials,Infrastructure Operations,ATLANTA,0,0
Jyoti Structures Limited,None,Industrials,Specialty Industrial Machinery,JYOTISTRUC,0,0
Moksh Ornaments Limited,None,Consumer Cyclical,Luxury Goods,MOKSH,32.973804,1148326144
Tainwala Chemical and Plastic (I) Limited,None,Basic Materials,Specialty Chemicals,TAINWALCHM,0,0
Nila Spaces Limited,None,Real Estate,Real Estate—Development,NILASPACES,0,0
Steel City Securities Limited,None,Financial Services,Capital Markets,STEELCITY,7.2319336,981206080
Automotive Stampings and Assemblies Limited,None,Consumer Cyclical,Auto Parts,ASAL,0,0
Godha Cabcon & Insulation Limited,None,Industrials,Electrical Equipment & Parts,GODHA,249.27386,2668291328
Morarjee Textiles Limited,None,Consumer Cyclical,Textile Manufacturing,MORARJEE,0,0
Cords Cable Industries Limited,None,Industrials,Electrical Equipment & Parts,CORDSCABLE,11.7220545,752397952
The Western India Plywoods Limited,None,Basic Materials,Lumber & Wood Production,WIPL,0,0
Alkali Metals Limited,None,Basic Materials,Specialty Chemicals,ALKALI,46.02245,960209792
Lambodhara Textiles Limited,None,Consumer Cyclical,Textile Manufacturing,LAMBODHARA,5.505911,1029457920
Pressman Advertising Limited,None,Communication Services,Advertising Agencies,PRESSMN,18.877079,959272320
Punj Lloyd Limited,None,Industrials,Engineering & Construction,PUNJLLOYD,0,0
Cambridge Technology Enterprises Limited,None,Technology,Information Technology Services,CTE,24.387257,1368942976
Flexituff Ventures International Limited,None,Consumer Cyclical,Textile Manufacturing,FLEXITUFF,0,0
Rajshree Sugars & Chemicals Limited,None,Consumer Defensive,Confectioners,RAJSREESUG,0,0
Globe Textiles (India) Limited,None,Consumer Cyclical,Textile Manufacturing,GLOBE,56.103287,1806146816
Bedmutha Industries Limited,None,Basic Materials,Steel,BEDMUTHA,1.1557547,2479508480
Salona Cotspin Limited,None,Consumer Cyclical,Textile Manufacturing,SALONA,8.12502,1372454016
Suryalakshmi Cotton Mills Limited,None,Consumer Cyclical,Textile Manufacturing,SURYALAXMI,4.9985023,1393806848
Ujaas Energy Limited,None,Technology,Solar,UJAAS,0,0
Nitiraj Engineers Limited,None,Technology,Scientific & Technical Instruments,NITIRAJ,22.148355,648888320
Hindprakash Industries Limited,None,Don't Know,Don't Know,HPIL,0,0
Sumeet Industries Limited,None,Consumer Cyclical,Textile Manufacturing,SUMEETINDS,4.879102,1174307328
Palash Securities Limited,None,Consumer Defensive,Packaged Foods,PALASHSECU,0,0
Tera Software Limited,None,Technology,Information Technology Services,TERASOFT,363.47516,644468736
ShreeOswal Seeds And Chemicals Limited,None,Don't Know,Don't Know,OSWALSEEDS,0,0
MRO-TEK Realty Limited,None,Technology,Communication Equipment,MRO-TEK,1.4817619,1186983552
M.R. Organisation Limited,None,Industrials,Specialty Industrial Machinery,MRO,4.6785355,
MT Educare Limited,None,Consumer Defensive,Education & Training Services,MTEDUCARE,0,0
NRB Industrial Bearings Limited,None,Industrials,Tools & Accessories,NIBL,14.397591,583671424
Ganga Forging Limited,None,Industrials,Metal Fabrication,GANGAFORGE,162.93103,2002719616
DCM  Limited,None,Industrials,Metal Fabrication,DCM,15.132516,2008496768
Tara Chand Logistic Solutions Limited,None,Don't Know,Don't Know,TARACHAND,0,0
Surana Solar Limited,None,Technology,Solar,SURANASOL,354.8611,1257228544
Malu Paper Mills Limited,None,Basic Materials,Paper & Paper Products,MALUPAPER,0,0
Mohini Health & Hygiene Limited,None,Don't Know,Don't Know,MHHL,0,0
Shradha Infraprojects Limited,None,Real Estate,Real Estate Services,SHRADHA,32.252747,594319872
Univastu India Limited,None,Industrials,Engineering & Construction,UNIVASTU,7.60389,977355584
ARSS Infrastructure Projects Limited,None,Industrials,Infrastructure Operations,ARSSINFRA,0,0
Madhav Marbles and Granites Limited,None,Industrials,Building Products & Equipment,MADHAV,0,0
Megasoft Limited,None,Technology,Software—Application,MEGASOFT,112.20807,3898744320
Shree Tirupati Balajee FIBC Limited,None,Don't Know,Don't Know,TIRUPATI,0,0
Energy Development Company Limited,None,Utilities,Utilities—Regulated Electric,ENERGYDEV,23.18271,1121000064
Digicontent Limited,None,Communication Services,Internet Content & Information,DGCONTENT,0,0
CIL Nova Petrochemicals Limited,None,Industrial Goods,Textile Industrial,CNOVAPETRO,2.8747983,434954976
Aarvee Denims & Exports Limited,None,Consumer Cyclical,Textile Manufacturing,AARVEEDEN,0,0
Patel Integrated Logistics Limited,None,Industrials,Integrated Freight & Logistics,PATINTLOG,148.59813,1049970816
Kanani Industries Limited,None,Consumer Cyclical,Luxury Goods,KANANIIND,191.47728,1671312768
B.A.G Films and Media Limited,None,Communication Services,Broadcasting,BAGFILMS,0,0
Airo Lam limited,None,Consumer Cyclical,"Furnishings, Fixtures & Appliances",AIROLAM,17.890965,
Sanwaria Consumer Limited,None,Consumer Defensive,Farm Products,SANWARIA,0,0
North Eastern Carrying Corporation Limited,None,Industrials,Trucking,NECCLTD,19.349007,1079936000
Anik Industries Limited,None,Consumer Defensive,Food Distribution,ANIKINDS,6.8931828,881173632
Art Nirman Limited,None,Real Estate,Real Estate—Development,ARTNIRMAN,0,0
Barak Valley Cements Limited,None,Basic Materials,Building Materials,BVCL,12.584054,580592000
Shaival Reality Limited,None,Don't Know,Don't Know,SHAIVAL,0,0
Vardhman Polytex Limited,None,Consumer Cyclical,Textile Manufacturing,VARDMNPOLY,0,0
Sambhaav Media Limited,None,Communication Services,Publishing,SAMBHAAV,0,0
IL&FS Engineering and Construction Company Limited,None,Industrials,Engineering & Construction,IL&FSENGG,0,0
Zenith Exports Limited,None,Consumer Cyclical,Textile Manufacturing,ZENITHEXPO,0,0
Keynote Financial Services Limited,None,Financial Services,Capital Markets,KEYFINSERV,5.0802608,1017308352
Marvel Decor Limited,None,Don't Know,Don't Know,MDL,0,0
Khfm Hospitality And Facility Management Services Limited,None,Don't Know,Don't Know,KHFM,0,0
Servotech Power Systems Limited,None,Industrials,Electrical Equipment & Parts,SERVOTECH,215.3,1971114624
Global Education Limited,None,Consumer Defensive,Education & Training Services,GLOBAL,11.757841,820532160
Madhucon Projects Limited,None,Industrials,Engineering & Construction,MADHUCON,0,0
Shiva Mills Limited,None,Consumer Cyclical,Textile Manufacturing,SHIVAMILLS,6.1723113,1185940224
Bang Overseas Limited,None,Consumer Cyclical,Apparel Manufacturing,BANG,12.872489,504445024
Aaa Technologies Limited,None,Don't Know,Don't Know,AAATECH,0,0
Somi Conveyor Beltings Limited,None,Industrials,Specialty Industrial Machinery,SOMICONVEY,22.374182,488288768
SPML Infra Limited,None,Industrials,Engineering & Construction,SPMLINFRA,0,0
Manugraph India Limited,None,Industrials,Specialty Industrial Machinery,MANUGRAPH,0,0
Kridhan Infra Limited,None,Basic Materials,Steel,KRIDHANINF,0,0
TREJHARA SOLUTIONS LIMITED,None,Technology,Software—Application,TREJHARA,7.810185,1002398528
Vaishali Pharma Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,VAISHALI,22.936945,571604032
Delta Manufacturing Limited,None,Industrials,Specialty Industrial Machinery,DELTAMAGNT,3.4066682,814917568
Cinevista Limited,None,Communication Services,Entertainment,CINEVISTA,0,0
Archies Limited,None,Consumer Cyclical,Specialty Retail,ARCHIES,0,0
Ascom Leasing & Investments Limited,None,Don't Know,Don't Know,ASCOM,0,0
Century Extrusions Limited,None,Basic Materials,Aluminum,CENTEXT,15.231363,1002743424
Laxmi Goldorna House Limited,None,Don't Know,Don't Know,LGHL,0,0
BSL Limited,None,Consumer Cyclical,Textile Manufacturing,BSL,9.957173,1101232000
Indowind Energy Limited,None,Utilities,Utilities—Renewable,INDOWIND,64.78405,1749959296
BLB Limited,None,Financial Services,Capital Markets,BLBLIMITED,18.623852,1080209664
AMD Industries Limited,None,Consumer Cyclical,Packaging & Containers,AMDIND,11.906977,988953600
Sanginita Chemicals Limited,None,Basic Materials,Chemicals,SANGINITA,36.19186,429965728
M K Proteins Limited,None,Don't Know,Don't Know,MKPL,0,0
ANI Integrated Services Limited,None,Don't Know,Don't Know,AISL,0,0
Banaras Beads Limited,None,Consumer Cyclical,Footwear & Accessories,BANARBEADS,23.816605,639130368
Bhandari Hosiery Exports Limited,None,Consumer Cyclical,Apparel Manufacturing,BHANDARI,19.875,1230826880
One Point One Solutions Limited,None,Industrials,Specialty Business Services,ONEPOINT,0,0
Vinny Overseas Limited,None,Don't Know,Don't Know,VINNY,0,0
Brand Concepts Limited,None,Don't Know,Don't Know,BCONCEPTS,81.265816,679415744
Ansal Housing Limited,None,Real Estate,Real Estate—Development,ANSALHSG,0,0
Tree House Education & Accessories Limited,None,Consumer Defensive,Education & Training Services,TREEHOUSE,0,0
Ajooni Biotech Limited,None,Consumer Defensive,Packaged Foods,AJOONI,109.55414,688385280
Gyscoal Alloys Limited,None,Basic Materials,Steel,GAL,1.9520853,710784832
DB (International) Stock Brokers Limited,None,Financial Services,Capital Markets,DBSTOCKBRO,49.82935,1027813760
Vaswani Industries Limited,None,Basic Materials,Steel,VASWANI,12.478583,657261120
Latteys Industries Limited,None,Don't Know,Don't Know,LATTEYS,0,0
Educomp Solutions Limited,None,Consumer Defensive,Education & Training Services,EDUCOMP,0,0
Simbhaoli Sugars Limited,None,Consumer Defensive,Confectioners,SIMBHALS,0,0
Sumit Woods Limited,None,Real Estate,Real Estate—Development,SUMIT,0,0
United Polyfab Gujarat Limited,None,Don't Know,Don't Know,UNITEDPOLY,7.6124167,
Tirupati Forge Limited,None,Industrials,Metal Fabrication,TIRUPATIFL,96.07143,1318099968
Giriraj Civil Developers Limited,None,Don't Know,Don't Know,GIRIRAJ,0,0
Sanghvi Forging and Engineering Limited,None,Don't Know,Don't Know,SANGHVIFOR,0,0
DC Infotech and Communication Limited,None,Don't Know,Don't Know,DCI,0,0
Sikko Industries Limited,None,Basic Materials,Agricultural Inputs,SIKKO,27.073402,636160000
Power & Instrumentation (Gujarat) Limited,None,Don't Know,Don't Know,PIGL,0,0
Aurangabad Distillery Limited,None,Don't Know,Don't Know,AURDIS,0,0
Beardsell Limited,None,Industrials,Building Products & Equipment,BEARDSELL,16.763287,487517664
The Mandhana Retail Ventures Limited,None,Consumer Cyclical,Apparel Retail,TMRVL,0,0
Celebrity Fashions Limited,None,Consumer Cyclical,Apparel Manufacturing,CELEBRITY,17.021276,772187200
Vaxtex Cotfab Limited,None,Don't Know,Don't Know,VCL,0,0
S.A.L. Steel Limited,None,Basic Materials,Steel,SALSTEEL,4.5055366,1002607104
Ushanti Colour Chem Limited,None,Don't Know,Don't Know,UCL,0,0
Landmark Property Development Company Limited,None,Real Estate,Real Estate Services,LPDC,310,1275690368
Shanti Overseas (India) Limited,None,Consumer Defensive,Farm Products,SHANTI,0,0
Lagnam Spintex Limited,None,Consumer Cyclical,Textile Manufacturing,LAGNAM,7.826987,
Karuturi Global Limited,None,Consumer Defensive,Farm Products,KGL,0,0
Nandani Creation Limited,None,Don't Know,Don't Know,NANDANI,0,0
Lakshmi Finance & Industrial Corporation Limited,None,Financial Services,Asset Management,LFIC,3.1078408,334500000
Ortin Laboratories Limited,None,Healthcare,Drug Manufacturers—Specialty & Generic,ORTINLAB,0,0
Gujarat Raffia Industries Limited,None,,,GUJRAFFIA,13.6347065,
Hindcon Chemicals Limited,None,Basic Materials,Specialty Chemicals,HINDCON,11.332851,
Oil Country Tubular Limited,None,Energy,Oil & Gas Equipment & Services,OILCOUNTUB,0,0
Lexus Granito (India) Limited,None,Don't Know,Don't Know,LEXUS,0,0
Priti International Limited,None,Don't Know,Don't Know,PRITI,0,0
Reliable Data Services Limited,None,Don't Know,Don't Know,RELIABLE,0,0
Keerti Knowledge and Skills Limited,None,Consumer Defensive,Education & Training Services,KEERTI,0,0
Focus Lighting and Fixtures Limited,None,Don't Know,Don't Know,FOCUS,1145.1456,
Cubex Tubings Limited,None,Basic Materials,Copper,CUBEXTUB,20.545868,390009664
Mercator Limited,None,Energy,Thermal Coal,MERCATOR,0,0
HEC Infra Projects Limited,None,Don't Know,Don't Know,HECPROJECT,48.36815,
Omkar Speciality Chemicals Limited,None,Basic Materials,Specialty Chemicals,OMKARCHEM,0,0
Bright Solar Limited,None,Don't Know,Don't Know,BRIGHT,0,0
Agro Phos India Limited,None,Basic Materials,Agricultural Inputs,AGROPHOS,12.908587,472386528
Pearl Polymers Limited,None,Consumer Cyclical,Packaging & Containers,PEARLPOLY,1.3232646,321546592
Goldstar Power Limited,None,Don't Know,Don't Know,GOLDSTAR,0,0
Next Mediaworks Limited,None,Communication Services,Broadcasting,NEXTMEDIA,0,0
Ambani Organics Limited,None,Don't Know,Don't Know,AMBANIORG,0,0
Felix Industries Limited,None,Don't Know,Don't Know,FELIX,0,0
Husys Consulting Limited,None,Don't Know,Don't Know,HUSYSLTD,0,0
Super Spinning Mills Limited,None,Consumer Cyclical,Textile Manufacturing,SUPERSPIN,0,0
Excel Realty N Infra Limited,None,Industrials,Conglomerates,EXCEL,0,0
STL Global Limited,None,Consumer Cyclical,Textile Manufacturing,SGL,2.0285501,801629760
Metalyst Forgings Limited,None,Industrials,Metal Fabrication,METALFORGE,0,0
Dharani Sugars & Chemicals Limited,None,Consumer Defensive,Confectioners,DHARSUGAR,0,0
Mangalam Timber Products Limited,None,Basic Materials,Lumber & Wood Production,MANGTIMBER,0,0
Balkrishna Paper Mills Limited,None,Consumer Cyclical,Packaging & Containers,BALKRISHNA,0,0
Times Guaranty Limited,None,Financial Services,Asset Management,TIMESGTY,10.696754,608136448
Kshitij Polyline Limited,None,Don't Know,Don't Know,KSHITIJPOL,0,0
Uniinfo Telecom Services Limited,None,Don't Know,Don't Know,UNIINFO,0,0
Prolife Industries Limited,None,Don't Know,Don't Know,PROLIFE,0,0
Zodiac Energy Limited,None,Don't Know,Don't Know,ZODIAC,24.553917,
Visagar Polytex Limited,None,Consumer Cyclical,Textile Manufacturing,VIVIDHA,0,0
Rohit Ferro-Tech Limited,None,Basic Materials,Steel,ROHITFERRO,0,0
JITF Infralogistics Limited,None,Industrials,Integrated Freight & Logistics,JITFINFRA,0,0
Diamond Power Infra Ltd,None,Industrials,Specialty Industrial Machinery,DIAPOWER,0,0
Sona Hi Sona Jewellers (Gujarat) Limited,None,Don't Know,Don't Know,SONAHISONA,0,0
MIG Media Neurons Limited,None,Communication Services,Advertising Agencies,MMNL,0,0
Mukand Engineers Limited,None,Industrials,Engineering & Construction,MUKANDENGG,0,0
Radha Madhav Corporation Limited,None,Consumer Cyclical,Packaging & Containers,RMCL,0,0
Williamson Magor & Company Limited,None,Financial Services,Credit Services,WILLAMAGOR,0,0
